,Location,City,Property Type,Property(BHK),Rent,Availabilities,Tenant Preferreds,Carpet Areas(sqft),Bathrooms,Floors
576,Shaikpet,,Flat,3,2110000,Immediately,Bachelors/Family,1800,1,1
577,Pragathi Nagar,"Kukatpally,",Flat,3,330000,Immediately,Bachelors/Family,1500,1,3
578,Tirumalagiri,,Villa,2,130000,Immediately,Bachelors/Family,2400,2,5
579,Hitech,"City,",Flat,3,250000,Immediately,Bachelors/Family,3000,2,3
580,Kondapur,,Flat,3,55000,Immediately,Bachelors,1750,2,3
581,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors,4300,2,1
582,Khajaguda,,Villa,4,180000,Immediately,Bachelors/Family,1900,3,20
583,Defence Colony,Sainikpuri,Flat,3,47000,Immediately,Bachelors,1700,3,2
584,Pragathi,"Enclave,",Flat,3,35000,Immediately,Bachelors/Family,1600,1,1
585,"Financial District, Nanakram","Guda,",Flat,3,110000,Immediately,Bachelors,1550,1,9
586,Izzathnagar,,Flat,4,110000,Immediately,Bachelors,1150,4,10
587,"Basheer Bagh, NH","7,",Flat,2,110000,Immediately,Bachelors,400,4,28
588,Chanda,Nagar,Villa,3,75000,Immediately,Bachelors,580,4,3
589,"Narsingi, Outer Ring","Road,",Flat,3,45500,Immediately,Bachelors/Family,1250,4,2
590,Narayanguda,,Flat,3,30000,Immediately,Bachelors/Family,8000,4,3
591,Gachibowli,,Flat,4,50000,Immediately,Bachelors,1908,4,25
592,"Injapur, Neeladri Nagar, Ibrahimpatnam","Road,",Flat,2,45000,Immediately,Bachelors/Family,3005,2,6
593,Dandamudi Enclave,"Jeedimetla,",Flat,4,40000,Immediately,Bachelors/Family,32000,2,4
594,Hastinapuram,,Flat,2,28000,Immediately,Bachelors,4736,3,5
595,Alwal,,Flat,2,40000,Immediately,Bachelors/Family,1800,3,14
596,Puppalguda,,Flat,3,10000,Immediately,Bachelors,7000,1,3
597,Gachibowli,,Flat,3,75000,Immediately,Bachelors,1800,1,1
598,"Kokapet, Outer Ring","Road,",Flat,2,30000,Immediately,Bachelors,1500,3,3
599,leke villa,Gandipet,Villa,5,7000,Immediately,Bachelors/Family,2400,3,5
600,"Kokapet, Outer Ring",Road,Villa,4,550000,Immediately,Bachelors/Family,3000,4,5
601,Nalagandla,,Flat,4,0,Immediately,Bachelors/Family,1750,4,15
602,Nalagandla,,Flat,3,95000,Immediately,Family,4300,1,1
603,Kondapur,,Flat,2,2110000,Immediately,Bachelors/Family,1900,1,3
604,"Kollur, Outer Ring",Road,Villa,5,330000,Immediately,Bachelors/Family,1700,2,5
605,Masjid,"Banda,",Flat,3,130000,Immediately,Bachelors/Family,1600,2,3
606,Shaikpet,,Flat,3,250000,Immediately,Bachelors/Family,1550,2,3
607,Pragathi Nagar,"Kukatpally,",Flat,3,55000,Immediately,Bachelors,1150,2,1
608,Tirumalagiri,,Villa,2,35000,Immediately,Bachelors,400,3,20
609,Hitech,"City,",Flat,3,180000,Immediately,Bachelors/Family,580,3,2
610,Kondapur,,Flat,3,47000,Immediately,Bachelors,1250,1,1
611,"Kokapet, Outer Ring","Road,",Flat,3,35000,Immediately,Bachelors/Family,8000,1,9
612,Khajaguda,,Villa,4,110000,Immediately,Bachelors,1908,2,10
613,Defence Colony,Sainikpuri,Flat,3,110000,Immediately,Bachelors,3005,2,28
